split_index,dataset,embedding_type,method,labelled_samples,model,accuracy,precision,recall,f1,experiment_id
7,Salinas,cae,assemble,10,logistic_regression,0.442423446905061,0.5296887874883712,0.442423446905061,0.41626467459713806,experiment_20250524_030853
8,Salinas,cae,assemble,10,logistic_regression,0.8683455530761874,0.8661549794894284,0.8683455530761874,0.8644842088218538,experiment_20250524_030853
9,Salinas,cae,assemble,10,logistic_regression,0.8559507960021752,0.8618117574104331,0.8559507960021752,0.8563316204692611,experiment_20250524_030853
0,Salinas,cae,assemble,10,neural_network,0.5450130323088751,0.5868279684491663,0.5450130323088751,0.5192297014266305,experiment_20250524_032730
1,Salinas,cae,assemble,10,neural_network,0.24316975754280035,0.3298977948779339,0.24316975754280035,0.24906365014023857,experiment_20250524_032730
2,Salinas,cae,assemble,10,neural_network,0.8411745954358791,0.8561840558509763,0.8411745954358791,0.8392136226437391,experiment_20250524_032730
3,Salinas,cae,assemble,10,neural_network,0.46181252226743424,0.5769535059590801,0.46181252226743424,0.4795458157158624,experiment_20250524_032730
4,Salinas,cae,assemble,10,neural_network,0.2801852650527855,0.3742408801410178,0.2801852650527855,0.27752448923481776,experiment_20250524_032730
5,Salinas,cae,assemble,10,neural_network,0.22186802677717565,0.2872944570454423,0.22186802677717565,0.19088030401288,experiment_20250524_032730
6,Salinas,cae,assemble,10,neural_network,0.3113690487352097,0.38954506268539935,0.3113690487352097,0.2916527363236762,experiment_20250524_032730
7,Salinas,cae,assemble,10,neural_network,0.5084850644114834,0.5545042401009804,0.5084850644114834,0.5003474688096093,experiment_20250524_032730
8,Salinas,cae,assemble,10,neural_network,0.2719533462093795,0.3879226551713724,0.2719533462093795,0.27074342706941923,experiment_20250524_032730
9,Salinas,cae,assemble,10,neural_network,0.854450674117272,0.860107866579483,0.854450674117272,0.8551616050257755,experiment_20250524_032730
0,Salinas,cae,assemble,10,random_forest,0.8522754973841624,0.8517624588099776,0.8522754973841624,0.8377521110374571,experiment_20250524_031314
1,Salinas,cae,assemble,10,random_forest,0.8678955165107165,0.8706487048635805,0.8678955165107165,0.8577942095482932,experiment_20250524_031314
2,Salinas,cae,assemble,10,random_forest,0.8500628176039303,0.8693925053972811,0.8500628176039303,0.8487133610958991,experiment_20250524_031314
3,Salinas,cae,assemble,10,random_forest,0.8244107333720865,0.8745545783471637,0.8244107333720865,0.8120440816121974,experiment_20250524_031314
4,Salinas,cae,assemble,10,random_forest,0.8419246563783307,0.8516360302868342,0.8419246563783307,0.8395142286832643,experiment_20250524_031314
5,Salinas,cae,assemble,10,random_forest,0.8294736447336346,0.8632065378503977,0.8294736447336346,0.8266002487533265,experiment_20250524_031314
6,Salinas,cae,assemble,10,random_forest,0.8555945170545107,0.8557310408766471,0.8555945170545107,0.8551406936320903,experiment_20250524_031314
7,Salinas,cae,assemble,10,random_forest,0.8507378724521367,0.8572756482163865,0.8507378724521367,0.8525163302078985,experiment_20250524_031314
8,Salinas,cae,assemble,10,random_forest,0.8876033677736316,0.888081253666427,0.8876033677736316,0.8841518910623121,experiment_20250524_031314
9,Salinas,cae,assemble,10,random_forest,0.8787526486527031,0.8845434660644041,0.8787526486527031,0.8792244311837897,experiment_20250524_031314
0,Salinas,cae,assemble,20,logistic_regression,0.44184214967466107,0.5197654194555943,0.44184214967466107,0.43692585775602877,experiment_20250524_042720
1,Salinas,cae,assemble,20,logistic_regression,0.47636370455099475,0.5394743034589924,0.47636370455099475,0.48562762097238193,experiment_20250524_042720
2,Salinas,cae,assemble,20,logistic_regression,0.40263271390800504,0.4658971578150919,0.40263271390800504,0.39432205023845535,experiment_20250524_042720
3,Salinas,cae,assemble,20,logistic_regression,0.40525792720658554,0.49177443887225913,0.40525792720658554,0.3972662752122472,experiment_20250524_042720
4,Salinas,cae,assemble,20,logistic_regression,0.4513491721202348,0.5561807094341896,0.4513491721202348,0.4622213413611777,experiment_20250524_042720
5,Salinas,cae,assemble,20,logistic_regression,0.4697819197809822,0.5679780167224782,0.4697819197809822,0.47031264023496583,experiment_20250524_042720
6,Salinas,cae,assemble,20,logistic_regression,0.3850437848075156,0.47503035546994976,0.3850437848075156,0.3945693619435124,experiment_20250524_042720
7,Salinas,cae,assemble,20,logistic_regression,0.4522117422040541,0.5163266348083573,0.4522117422040541,0.44729180990798234,experiment_20250524_042720
8,Salinas,cae,assemble,20,logistic_regression,0.48410808378180725,0.5780774400472536,0.48410808378180725,0.49498969400183346,experiment_20250524_042720
