split_index,dataset,embedding_type,method,labelled_samples,model,accuracy,precision,recall,f1,experiment_id
8,KSC,cae,supervised,5,logistic_regression,0.7952203464152598,0.7959817344725925,0.7952203464152598,0.7872664491851974,experiment_20250329_030947
9,KSC,cae,supervised,5,logistic_regression,0.7923700942775707,0.7947603298451726,0.7923700942775707,0.7912775492633561,experiment_20250329_030947
0,KSC,cae,supervised,5,neural_network,0.8088138566103925,0.8303893388483924,0.8088138566103925,0.8160745221619579,experiment_20250329_031030
1,KSC,cae,supervised,5,neural_network,0.812541109405832,0.8321191985068512,0.812541109405832,0.8173473235457335,experiment_20250329_031030
2,KSC,cae,supervised,5,neural_network,0.8153913615435212,0.8470553265739935,0.8153913615435212,0.8210428010367702,experiment_20250329_031030
3,KSC,cae,supervised,5,neural_network,0.7930278447708836,0.821862814731848,0.7930278447708836,0.7969203271189178,experiment_20250329_031030
4,KSC,cae,supervised,5,neural_network,0.8186801140100856,0.8334834081565016,0.8186801140100856,0.8215754373141926,experiment_20250329_031030
5,KSC,cae,supervised,5,neural_network,0.7763648322736242,0.7873553841097164,0.7763648322736242,0.7790531382063989,experiment_20250329_031030
6,KSC,cae,supervised,5,neural_network,0.8123218592413944,0.8368573500807664,0.8123218592413944,0.8165592045427434,experiment_20250329_031030
7,KSC,cae,supervised,5,neural_network,0.7597018197763649,0.8003443267032225,0.7597018197763649,0.7667870727585856,experiment_20250329_031030
8,KSC,cae,supervised,5,neural_network,0.8197763648322737,0.8241500632615484,0.8197763648322737,0.8161694209560278,experiment_20250329_031030
9,KSC,cae,supervised,5,neural_network,0.7919315939486955,0.7994217808728739,0.7919315939486955,0.792023796763093,experiment_20250329_031030
0,KSC,cae,supervised,5,random_forest,0.8406051304538479,0.854132770856,0.8406051304538479,0.8441322097607429,experiment_20250329_031011
1,KSC,cae,supervised,5,random_forest,0.8142951107213331,0.8345925182847767,0.8142951107213331,0.8185351787750663,experiment_20250329_031011
2,KSC,cae,supervised,5,random_forest,0.8419206314404736,0.8514962757863213,0.8419206314404736,0.840206670102912,experiment_20250329_031011
3,KSC,cae,supervised,5,random_forest,0.8002631001973252,0.8206795453512743,0.8002631001973252,0.802097865361817,experiment_20250329_031011
4,KSC,cae,supervised,5,random_forest,0.8217496163122122,0.8290836314280251,0.8217496163122122,0.822082638339893,experiment_20250329_031011
5,KSC,cae,supervised,5,random_forest,0.791054593290945,0.8047978879764864,0.791054593290945,0.7925156502909715,experiment_20250329_031011
6,KSC,cae,supervised,5,random_forest,0.8316158737119053,0.8483013103773192,0.8316158737119053,0.8311100654187327,experiment_20250329_031011
7,KSC,cae,supervised,5,random_forest,0.8158298618723964,0.8250140087781014,0.8158298618723964,0.8180174015763916,experiment_20250329_031011
8,KSC,cae,supervised,5,random_forest,0.8256961192720894,0.8300681917321148,0.8256961192720894,0.8189966930425936,experiment_20250329_031011
9,KSC,cae,supervised,5,random_forest,0.8327121245340934,0.8374135589573599,0.8327121245340934,0.8284363590666194,experiment_20250329_031011
0,KSC,cae,assemble,10,logistic_regression,0.8412628809471607,0.8485763430331436,0.8412628809471607,0.8430071831747689,experiment_20250524_012319
1,KSC,cae,assemble,10,logistic_regression,0.8245998684499013,0.8178464369276592,0.8245998684499013,0.8177525785902207,experiment_20250524_012319
2,KSC,cae,assemble,10,logistic_regression,0.8199956149967113,0.8441927559276124,0.8199956149967113,0.8264157445000536,experiment_20250524_012319
3,KSC,cae,assemble,10,logistic_regression,0.8403858802894102,0.8433241000732905,0.8403858802894102,0.8326052194827732,experiment_20250524_012319
4,KSC,cae,assemble,10,logistic_regression,0.8379741284805964,0.845430568609388,0.8379741284805964,0.8392712819874714,experiment_20250524_012319
5,KSC,cae,assemble,10,logistic_regression,0.841043630782723,0.8403149535446734,0.841043630782723,0.8354109566277788,experiment_20250524_012319
6,KSC,cae,assemble,10,logistic_regression,0.8390703793027845,0.8476155359361716,0.8390703793027845,0.837900514304424,experiment_20250524_012319
7,KSC,cae,assemble,10,logistic_regression,0.8024556018417014,0.8127853427718749,0.8024556018417014,0.793649899358989,experiment_20250524_012319
8,KSC,cae,assemble,10,logistic_regression,0.8403858802894102,0.8490288184572056,0.8403858802894102,0.8296727588499384,experiment_20250524_012319
9,KSC,cae,assemble,10,logistic_regression,0.85332163999123,0.8595761982186539,0.85332163999123,0.8500399214401745,experiment_20250524_012319
0,KSC,cae,assemble,10,neural_network,0.3433457575093181,0.4397621619025355,0.3433457575093181,0.3315711822137998,experiment_20250524_012832
1,KSC,cae,assemble,10,neural_network,0.3479500109625082,0.4646627919779012,0.3479500109625082,0.3336801649697339,experiment_20250524_012832
2,KSC,cae,assemble,10,neural_network,0.5064678798509099,0.5830215246605379,0.5064678798509099,0.5078586869423287,experiment_20250524_012832
3,KSC,cae,assemble,10,neural_network,0.6439377329532997,0.6739435720083731,0.6439377329532997,0.6380083862533863,experiment_20250524_012832
4,KSC,cae,assemble,10,neural_network,0.44222758167068627,0.5520051563688525,0.44222758167068627,0.4469324911148851,experiment_20250524_012832
5,KSC,cae,assemble,10,neural_network,0.4224950668713002,0.5175754095152885,0.4224950668713002,0.4188158628301204,experiment_20250524_012832
6,KSC,cae,assemble,10,neural_network,0.406270554702916,0.48742851125120495,0.406270554702916,0.3932948289796953,experiment_20250524_012832
