split_index,dataset,embedding_type,method,labelled_samples,model,accuracy,precision,recall,f1,experiment_id
0,Pavia,cae,supervised,50,logistic_regression,0.976378112686355,0.9796651686291089,0.976378112686355,0.9770466706899611,experiment_20250325_005056
1,Pavia,cae,supervised,50,logistic_regression,0.9783279847260024,0.9811817298411242,0.9783279847260024,0.9789601861423024,experiment_20250325_005056
2,Pavia,cae,supervised,50,logistic_regression,0.9784363109504272,0.98191844749476,0.9784363109504272,0.9791464226490061,experiment_20250325_005056
3,Pavia,cae,supervised,50,logistic_regression,0.9818011942966243,0.9831464123835877,0.9818011942966243,0.9821340524246868,experiment_20250325_005056
4,Pavia,cae,supervised,50,logistic_regression,0.9820381579125537,0.9831652944311228,0.9820381579125537,0.9822731823008203,experiment_20250325_005056
5,Pavia,cae,supervised,50,logistic_regression,0.9768858918633465,0.9796764559520348,0.9768858918633465,0.9774747251912098,experiment_20250325_005056
6,Pavia,cae,supervised,50,logistic_regression,0.9817131792392791,0.9832295060703443,0.9817131792392791,0.9820448907880222,experiment_20250325_005056
7,Pavia,cae,supervised,50,logistic_regression,0.9776780273794532,0.981122373375181,0.9776780273794532,0.9784048987686939,experiment_20250325_005056
8,Pavia,cae,supervised,50,logistic_regression,0.9815100675684825,0.9829999050634796,0.9815100675684825,0.9818583789877293,experiment_20250325_005056
9,Pavia,cae,supervised,50,logistic_regression,0.9800612043168,0.9822437970965999,0.9800612043168,0.9805404719157739,experiment_20250325_005056
0,Pavia,cae,supervised,50,neural_network,0.9756943033946731,0.9794861559331,0.9756943033946731,0.9764735734946982,experiment_20250325_005230
1,Pavia,cae,supervised,50,neural_network,0.9809955180024644,0.9829371858503659,0.9809955180024644,0.9813755238454365,experiment_20250325_005230
2,Pavia,cae,supervised,50,neural_network,0.9789576309054718,0.9820439448986651,0.9789576309054718,0.9796022500011412,experiment_20250325_005230
3,Pavia,cae,supervised,50,neural_network,0.982078780246713,0.9831352080275095,0.982078780246713,0.9823610070023311,experiment_20250325_005230
4,Pavia,cae,supervised,50,neural_network,0.9838932445058293,0.9848384981329883,0.9838932445058293,0.9840750855538797,experiment_20250325_005230
5,Pavia,cae,supervised,50,neural_network,0.9782399696686571,0.9803524860519903,0.9782399696686571,0.9787042070656614,experiment_20250325_005230
6,Pavia,cae,supervised,50,neural_network,0.9833042206605191,0.9845203388897884,0.9833042206605191,0.9835592304261703,experiment_20250325_005230
7,Pavia,cae,supervised,50,neural_network,0.9777051089355594,0.9801005385996833,0.9777051089355594,0.9782408569019116,experiment_20250325_005230
8,Pavia,cae,supervised,50,neural_network,0.9846650688548564,0.9856765508578503,0.9846650688548564,0.9849049999467423,experiment_20250325_005230
9,Pavia,cae,supervised,50,neural_network,0.9818079646856508,0.9838753900581723,0.9818079646856508,0.9823148110655473,experiment_20250325_005230
0,Pavia,cae,supervised,50,random_forest,0.9730944740084765,0.9774199108931776,0.9730944740084765,0.9740300175350972,experiment_20250325_005137
1,Pavia,cae,supervised,50,random_forest,0.9765473724120188,0.9801009637086322,0.9765473724120188,0.9773265939936661,experiment_20250325_005137
2,Pavia,cae,supervised,50,random_forest,0.9729590662279455,0.9784808564087524,0.9729590662279455,0.9741364917067873,experiment_20250325_005137
3,Pavia,cae,supervised,50,random_forest,0.976195312182638,0.9795766329241032,0.976195312182638,0.976917645572178,experiment_20250325_005137
4,Pavia,cae,supervised,50,random_forest,0.9731960298438749,0.9766375063088608,0.9731960298438749,0.9739213112467999,experiment_20250325_005137
5,Pavia,cae,supervised,50,random_forest,0.9697905241635184,0.9755657046788366,0.9697905241635184,0.9710089763312365,experiment_20250325_005137
6,Pavia,cae,supervised,50,random_forest,0.9777795832148515,0.9802453252618607,0.9777795832148515,0.9782599299832658,experiment_20250325_005137
7,Pavia,cae,supervised,50,random_forest,0.9740694100283003,0.978723749741208,0.9740694100283003,0.9750486774639052,experiment_20250325_005137
8,Pavia,cae,supervised,50,random_forest,0.9775629307660019,0.9802270038949724,0.9775629307660019,0.9781235495627204,experiment_20250325_005137
9,Pavia,cae,supervised,50,random_forest,0.9743334552003358,0.9781238359545958,0.9743334552003358,0.975191365676292,experiment_20250325_005137
